Time,q1,q1_dot,q1_dot_dot,tau1,q2,q2_dot,q2_dot_dot,tau2
,,,,,,,,
0,-0.025855,-0.030822943,0.009950187,1,9.62E-17,-1.23361596,0.009950187,0.442602899
0.010025,-0.026164,-0.030723192,0.017412827,1,-0.012367,-1.233516209,0.027363014,0.442729429
0.02005,-0.026471,-0.030473815,0.029850561,1,-0.024732,-1.233067332,0.062188668,0.443046082
0.030075,-0.026775,-0.030124688,0.034825654,1,-0.03709,-1.232269327,0.092039229,0.443105563
0.0401,-0.027075,-0.029775561,0.032338107,1,-0.049439,-1.231221945,0.121889789,0.442956543
0.050125,-0.027372,-0.029476309,0.034825654,1,-0.061776,-1.229825436,0.154227897,0.442853675
0.06015,-0.027666,-0.029077307,0.039800748,1,-0.074097,-1.228129676,0.181590911,0.442678939
0.070175,-0.027955,-0.028678304,0.039800748,1,-0.0864,-1.226184539,0.208953924,0.442343254
0.080201,-0.028241,-0.028279302,0.042288294,1,-0.098682,-1.22394015,0.241292032,0.442033405
0.090226,-0.028522,-0.027830424,0.044775841,1,-0.11094,-1.221346633,0.273630139,0.441655912
0.10025,-0.028799,-0.027381546,0.047263388,1,-0.12317,-1.218453865,0.31840598,0.441332296
0.11028,-0.029071,-0.026882793,0.049750934,1,-0.13537,-1.214962594,0.348256541,0.4407978
0.1203,-0.029338,-0.02638404,0.049750934,1,-0.14753,-1.211471322,0.348256541,0.439863204
0.13033,-0.0296,-0.025885287,0.052238481,1,-0.15966,-1.20798005,0.373132008,0.439151443
0.14035,-0.029857,-0.025336658,0.057213575,1,-0.17175,-1.203990025,0.422882942,0.438663998
0.15038,-0.030108,-0.024738155,0.059701121,1,-0.1838,-1.199501247,0.472633877,0.438068866
0.1604,-0.030353,-0.024139651,0.062188668,1,-0.1958,-1.194513716,0.497509344,0.437172233
0.17043,-0.030592,-0.023491272,0.064676215,1,-0.20775,-1.189526185,0.497509344,0.43597516
0.18045,-0.030824,-0.022842893,0.062188668,1,-0.21965,-1.184538653,0.522384811,0.434870712
0.19048,-0.03105,-0.022244389,0.064676215,1,-0.2315,-1.179052369,0.572135745,0.434042049
0.2005,-0.03127,-0.021546135,0.072138855,1,-0.24329,-1.173067332,0.62188668,0.433249622
0.21053,-0.031482,-0.020798005,0.074626402,1,-0.25502,-1.166583541,0.646762147,0.432071676
0.22055,-0.031687,-0.020049875,0.077113948,1,-0.26668,-1.160099751,0.646762147,0.430601546
0.23058,-0.031884,-0.01925187,0.079601495,1,-0.27828,-1.15361596,0.671637614,0.429322332
0.2406,-0.032073,-0.018453865,0.079601495,1,-0.28981,-1.146633416,0.696513081,0.42795005
0.25063,-0.032254,-0.01765586,0.082089042,1,-0.30127,-1.139650873,0.746264016,0.426817886
0.26065,-0.032427,-0.01680798,0.084576588,1,-0.31266,-1.131670823,0.79601495,0.425640525
0.27068,-0.032591,-0.0159601,0.089551682,1,-0.32396,-1.123690773,0.79601495,0.423984527
0.2807,-0.032747,-0.015012469,0.094526775,1,-0.33519,-1.115710723,0.820890417,0.422527543
0.29073,-0.032892,-0.014064838,0.094526775,1,-0.34633,-1.10723192,0.845765885,0.420943691
0.30075,-0.033029,-0.013117207,0.097014322,1,-0.35739,-1.098753117,0.870641352,0.419366904
0.31078,-0.033155,-0.012119701,0.099501869,1,-0.36836,-1.089775561,0.920392286,0.417997523
0.3208,-0.033272,-0.011122195,0.101989415,1,-0.37924,-1.080299252,0.970143221,0.416595317
0.33083,-0.033378,-0.010074813,0.106964509,1,-0.39002,-1.07032419,0.970143221,0.414725492
0.34085,-0.033474,-0.008977556,0.111939602,1,-0.4007,-1.06084788,0.945267753,0.412586445
0.35088,-0.033558,-0.007830424,0.111939602,1,-0.41129,-1.051371571,0.995018688,0.411055748
0.3609,-0.033631,-0.006733167,0.114427149,1,-0.42178,-1.040897756,1.069645089,0.409786681
0.37093,-0.033693,-0.00553616,0.119402243,1,-0.43216,-1.029925187,1.094520556,0.408058175
0.38095,-0.033742,-0.004339152,0.119402243,1,-0.44243,-1.018952618,1.069645089,0.405740252
0.39098,-0.03378,-0.003142145,0.124377336,1,-0.45259,-1.008478803,1.094520556,0.403976055
0.401,-0.033805,-0.001845387,0.129352429,1,-0.46265,-0.997007481,1.169146958,0.402677492
0.41103,-0.033817,-0.000548628,0.129352429,1,-0.47258,-0.985037406,1.169146958,0.400557902
0.42105,-0.033816,0.00074813,0.134327523,1,-0.4824,-0.973566085,1.169146958,0.398513975
0.43108,-0.033802,0.002144638,0.139302616,1,-0.4921,-0.96159601,1.218897892,0.39694499
0.4411,-0.033773,0.003541147,0.139302616,1,-0.50168,-0.949127182,1.24377336,0.395041967
0.45113,-0.033731,0.004937656,0.141790163,1,-0.51113,-0.936658354,1.24377336,0.392938766
0.46115,-0.033674,0.00638404,0.146765256,1,-0.52046,-0.924189526,1.293524294,0.391359357
0.47118,-0.033603,0.007880299,0.15174035,1,-0.52966,-0.910723192,1.318399761,0.389539705
0.4812,-0.033516,0.009426434,0.154227897,1,-0.53872,-0.897755611,1.318399761,0.387441407
0.49123,-0.033414,0.010972569,0.156715443,1,-0.54766,-0.884289277,1.368150696,0.385828657
0.50125,-0.033296,0.012568579,0.15920299,1,-0.55645,-0.87032419,1.368150696,0.38374471
0.51128,-0.033162,0.014164589,0.161690537,1,-0.56511,-0.856857855,1.368150696,0.38166927
0.5213,-0.033012,0.015810474,0.169153177,1,-0.57363,-0.842892768,1.41790163,0.38017442
0.53133,-0.032845,0.01755611,0.171640724,1,-0.58201,-0.828428928,1.467652564,0.378608666
0.54135,-0.03266,0.01925187,0.171640724,1,-0.59024,-0.813466334,1.467652564,0.376536427
0.55138,-0.032459,0.020997506,0.179103364,1,-0.59832,-0.799002494,1.442777097,0.374369509
