Time,q1,q1_dot,q1_dot_dot,tau1,q2,q2_dot,q2_dot_dot,tau2
,,,,,,,,
0,-0.021168,-0.031984,4.884001222,0.9,6.41E-17,-7.675493667,2.220000556,0.097667871
0.0050025,-0.021216,-0.024654333,3.996001,0.9,-0.011519,-7.672162,4.884001222,0.099303198
0.010005,-0.021253,-0.018657333,4.884001222,0.9,-0.023033,-7.664832333,7.548001889,0.106719492
0.015008,-0.021281,-0.011327667,4.440001111,0.9,-0.034536,-7.653504667,10.21200256,0.109780604
0.02001,-0.021298,-0.004664333,4.884001222,0.9,-0.046022,-7.638179,11.988003,0.114207184
0.025013,-0.021305,0.002665333,4.440001111,0.9,-0.057485,-7.620188,14.65200367,0.117246742
0.030015,-0.021301,0.009328667,4.884001222,0.9,-0.068921,-7.598199,17.76000444,0.123928719
0.035018,-0.021287,0.016658333,4.440001111,0.9,-0.080324,-7.571545667,17.76000444,0.122391315
0.04002,-0.021262,0.023321667,4.884001222,0.9,-0.091687,-7.544892333,23.53200589,0.133607141
0.045023,-0.021227,0.030651333,4.884001222,0.9,-0.10301,-7.509576667,26.64000667,0.138810305
0.050025,-0.021181,0.037981,4.440001111,0.9,-0.11428,-7.469596667,26.64000667,0.137244006
0.055028,-0.021124,0.044644333,4.884001222,0.9,-0.12549,-7.429616667,26.64000667,0.138555131
0.06003,-0.021057,0.051974,4.884001222,0.9,-0.13664,-7.389636667,31.08000778,0.146006794
0.065033,-0.020979,0.059303667,4.440001111,0.9,-0.14773,-7.342993333,39.96001,0.159602233
0.070035,-0.02089,0.065967,4.884001222,0.9,-0.15875,-7.283023333,31.08000778,0.145694486
0.075038,-0.020791,0.073296667,4.884001222,0.9,-0.16968,-7.23638,39.96001,0.160712933
0.08004,-0.020681,0.080626333,4.440001111,0.9,-0.18054,-7.17641,39.96001,0.159098179
0.085043,-0.02056,0.087289667,4.884001222,0.9,-0.19131,-7.11644,44.40001111,0.167943185
0.090045,-0.020429,0.094619333,4.884001222,0.9,-0.20199,-7.049806667,48.84001222,0.175343505
0.095048,-0.020287,0.101949,4.884001222,0.9,-0.21257,-6.97651,44.40001111,0.167548908
0.10005,-0.020134,0.109278667,4.440001111,0.9,-0.22304,-6.909876667,53.28001333,0.18109806
0.10505,-0.01997,0.115942,4.884001222,0.9,-0.23341,-6.829916667,48.84001222,0.174721265
0.11006,-0.019796,0.123271667,4.440001111,0.9,-0.24366,-6.75662,53.28001333,0.180667375
0.11506,-0.019611,0.129935,4.884001222,0.9,-0.2538,-6.67666,62.16001556,0.197057216
0.12006,-0.019416,0.137264667,4.440001111,0.9,-0.26382,-6.583373333,53.28001333,0.180214314
0.12506,-0.01921,0.143928,4.884001222,0.9,-0.2737,-6.503413333,66.60001667,0.204184943
0.13007,-0.018994,0.151257667,4.440001111,0.9,-0.28346,-6.403463333,57.72001444,0.187336807
0.13507,-0.018767,0.157921,4.884001222,0.9,-0.29307,-6.31684,66.60001667,0.203702034
0.14007,-0.01853,0.165250667,3.996001,0.9,-0.30255,-6.21689,71.04001778,0.208215424
0.14507,-0.018282,0.171247667,4.884001222,0.9,-0.31188,-6.110276667,62.16001556,0.195612218
0.15008,-0.018025,0.178577333,4.440001111,0.9,-0.32105,-6.01699,75.48001889,0.21672935
0.15508,-0.017757,0.185240667,4.440001111,0.9,-0.33008,-5.903713333,71.04001778,0.20888395
0.16008,-0.017479,0.191904,4.440001111,0.9,-0.33894,-5.7971,75.48001889,0.216225269
0.16508,-0.017191,0.198567333,3.996001,0.9,-0.34764,-5.683823333,79.92002,0.222158774
0.17009,-0.016893,0.204564333,4.440001111,0.9,-0.35617,-5.563883333,75.48001889,0.21571837
0.17509,-0.016586,0.211227667,4.440001111,0.9,-0.36452,-5.450606667,75.48001889,0.215465176
0.18009,-0.016269,0.217891,4.440001111,0.9,-0.3727,-5.33733,88.80002222,0.237994032
0.18509,-0.015942,0.224554333,3.552000889,0.9,-0.38071,-5.204063333,79.92002,0.219756897
0.1901,-0.015605,0.229885,4.440001111,0.9,-0.38852,-5.084123333,84.36002111,0.229899122
0.1951,-0.01526,0.236548333,3.996001,0.9,-0.39615,-4.95752,88.80002222,0.235850429
0.2001,-0.014905,0.242545333,3.996001,0.9,-0.40359,-4.824253333,88.80002222,0.235607457
0.2051,-0.014541,0.248542333,3.996001,0.9,-0.41083,-4.690986667,88.80002222,0.235367728
0.21011,-0.014168,0.254539333,3.996001,0.9,-0.41787,-4.55772,93.24002333,0.242725431
0.21511,-0.013786,0.260536333,3.552000889,0.9,-0.42471,-4.41779,88.80002222,0.233512422
0.22011,-0.013395,0.265867,3.552000889,0.9,-0.43134,-4.284523333,97.68002444,0.248474612
