Time,q1,q1_dot,q1_dot_dot,tau1,q2,q2_dot,q2_dot_dot,tau2
0.002,-0.00115967,0.00225817,0.0,0,0.000366211,0.00651656,0.0,0
0.004,-0.00119019,-0.0180491,0.0,0,0.000335693,-0.00917703,0.0,0
0.006,-0.00114441,0.00371238,0.0,0,0.000396729,0.00389364,0.0,0
0.008,-0.00114441,0.00492344,0.0,0,0.000350952,-0.00321585,0.0,0
0.01,-0.00119019,-0.00425991,0.0,0,0.000320435,-0.0101983,0.0,0
0.012,-0.00114441,0.00786168,0.0,0,0.000305176,-0.0162018,0.0,0
0.014,-0.00117493,0.000538841,0.0,0,0.000366211,0.00473291,0.0,0
0.016,-0.00120544,-0.00927514,0.0,0,0.00038147,0.00776998,0.0,0
0.018,-0.0012207,-0.00759974,0.0,0,0.000350952,0.00160957,0.0,0
0.02,-0.00117493,0.00185187,0.0,0,0.000411987,0.020552,0.0,0
0.022,-0.00117493,0.00215306,0.0,0,0.000396729,0.0115145,0.0,0
0.024,-0.00117493,-0.000229839,0.0,0,0.000320435,-0.0148778,0.0,0
0.026,-0.00114441,0.00715104,0.0,0,0.000457764,0.0210524,0.0,0
0.029,-0.00115967,0.00380651,0.0,0,0.000350952,-0.00643175,0.0,0
0.031,-0.00117493,-0.000193753,0.0,0,0.000366211,-0.000569404,0.0,0
0.034,-0.00119019,-0.00447011,0.0,0,0.00038147,0.00355322,0.0,0
0.036,-0.0012207,-0.0121412,0.0,0,0.000350952,-0.00860759,0.0,0
0.038,-0.0012207,-0.00990734,0.0,0,0.000366211,-0.00337116,0.0,0
0.04,-0.00117493,0.000714543,0.0,0,0.000411987,0.0065997,0.0,0
0.042,-0.00115967,0.0064059,0.0,0,0.000366211,-0.00047685,0.0,0
0.044,-0.0012207,-0.00953712,0.0,0,0.000350952,-0.00242835,0.0,0
0.046,-0.00115967,0.0110007,0.0,0,0.000396729,0.00610084,0.0,0
0.048,-0.00112915,0.0137209,0.0,0,0.000427246,0.0170992,0.0,0
0.05,-0.00115967,-0.00289981,0.0,0,0.000442505,0.0155493,0.0,0
0.052,-0.00114441,0.000871422,0.0,0,0.000305176,-0.0192483,0.0,0
0.054,-0.00126648,-0.0253844,0.0,0,0.00038147,0.00128483,0.0,0
0.056,-0.00111389,0.0162764,0.0,0,0.000411987,0.00771035,0.0,0
0.058,-0.00114441,0.00388338,0.0,0,0.000396729,0.00887749,0.0,0
0.06,-0.00111389,0.00866644,0.0,0,0.000335693,-0.00983591,0.0,0
0.062,-0.00111389,0.00317745,0.0,0,0.00038147,0.00744523,0.0,0
0.064,-0.00123596,-0.0256339,0.0,0,0.00038147,0.00621692,0.0,0
0.066,-0.00117493,-0.00406695,0.0,0,0.00038147,0.00487095,0.0,0
0.068,-0.00117493,-0.007526,0.0,0,0.000396729,0.008992,0.0,0
0.07,-0.00115967,0.00184717,0.0,0,0.00038147,0.00327397,0.0,0
0.072,-0.00123596,-0.0184365,0.0,0,0.000411987,0.00862178,0.0,0
0.074,-0.00114441,0.0100673,0.0,0,0.00038147,-0.00414299,0.0,0
0.076,-0.00111389,0.0143233,0.0,0,0.000411987,0.0089622,0.0,0
0.078,-0.00115967,-0.00331553,0.0,0,0.000350952,-0.00711103,0.0,0
0.08,-0.00114441,0.00436498,0.0,0,0.000366211,0.00376185,0.0,0
0.082,-0.00111389,0.0122322,0.0,0,0.000396729,0.0121608,0.0,0
0.084,-0.00112915,0.00845153,0.0,0,0.000366211,0.00128482,0.0,0
0.086,-0.00109863,0.0150433,0.0,0,0.000411987,0.00924614,0.0,0
0.088,-0.00112915,0.00368886,0.0,0,0.000366211,-0.00454772,0.0,0
0.09,-0.00112915,0.00482933,0.0,0,0.000350952,-0.00231071,0.0,0
0.092,-0.00112915,0.00107379,0.0,0,0.00038147,0.0117969,0.0,0
0.094,-0.00109863,0.0135562,0.0,0,0.000350952,-0.000652558,0.0,0
0.096,-0.00117493,-0.0113992,0.0,0,0.000305176,-0.0164403,0.0,0
0.098,-0.00114441,-0.00108008,0.0,0,0.00038147,0.0102329,0.0,0
0.1,-0.00120544,-0.0164584,0.0,0,0.000350952,0.00659341,0.0,0
0.102,-0.00115967,-0.000234537,0.0,0,0.000411987,0.0185848,0.0,0
0.104,-0.0012207,-0.0158811,0.0,0,0.000442505,0.0226337,0.0,0
0.106,-0.00114441,0.00513837,0.0,0,0.00038147,0.00208018,0.0,0
0.108,-0.00114441,0.00514935,0.0,0,0.000320435,-0.0172105,0.0,0
0.11,-0.00108337,0.0244777,0.0,0,0.000305176,-0.019675,0.0,0
0.112,-0.00115967,-0.00577216,0.0,0,0.00038147,0.00742484,0.0,0
0.114,-0.00126648,-0.0316986,0.0,0,0.000396729,0.0141202,0.0,0
0.116,-0.00119019,-0.00250135,0.0,0,0.000427246,0.018544,0.0,0
0.118,-0.00112915,0.0105254,0.0,0,0.000350952,-0.00789696,0.0,0
0.12,-0.00109863,0.0136597,0.0,0,0.000366211,0.00256647,0.0,0
0.122,-0.00109863,0.00504582,0.0,0,0.000335693,-0.0129326,0.0,0
0.124,-0.00109863,0.00031609,0.0,0,0.000305176,-0.0150457,0.0,0
0.126,-0.00117493,-0.0127499,0.0,0,0.000335693,-0.00444419,0.0,0
0.128,-0.00120544,-0.0177824,0.0,0,0.000366211,0.00436424,0.0,0
0.13,-0.00112915,0.00976456,0.0,0,0.000366211,0.00526783,0.0,0
0.132,-0.00106812,0.0219834,0.0,0,0.00038147,0.00934496,0.0,0
0.134,-0.00111389,0.00676515,0.0,0,0.000411987,0.0167494,0.0,0
0.136,-0.00117493,-0.0128848,0.0,0,0.000396729,0.00344653,0.0,0
0.138,-0.00117493,-0.00861626,0.0,0,0.000411987,0.00907828,0.0,0
0.14,-0.00108337,0.0200539,0.0,0,0.000350952,-0.0100304,0.0,0
0.142,-0.00114441,-0.00126675,0.0,0,0.000427246,0.0175259,0.0,0
0.144,-0.00115967,-0.00662868,0.0,0,0.000366211,-0.0064302,0.0,0
0.146,-0.00115967,-0.00215308,0.0,0,0.000305176,-0.0198758,0.0,0
0.148,-0.00117493,-0.00707106,0.0,0,0.000427246,0.0118079,0.0,0
0.15,-0.00117493,-0.00560743,0.0,0,0.00038147,-0.00136163,0.0,0
0.152,-0.00119019,-0.00864763,0.0,0,0.000396729,0.001266,0.0,0
0.154,-0.0012207,-0.0176349,0.0,0,0.000411987,0.00220566,0.0,0
0.156,-0.00106812,0.0295855,0.0,0,0.000411987,0.00273589,0.0,0
0.158,-0.00119019,-0.0104564,0.0,0,0.000350952,-0.0102407,0.0,0
