Time,q1,q1_dot,q1_dot_dot,tau1,q2,q2_dot,q2_dot_dot,tau2

0,-0.0077872,-0.0114551999999998,2.78331389999992,0.9,6.4122e-17,-9.86445900000002,10.6453440000068,0.597316915074267
0.03003,-0.0078216,-0.00309690000000009,2.81658060000001,0.9,-0.029623,-9.832491,20.8471320000007,0.696656414909834
0.06006,-0.0078309,0.00536129999999993,2.8498473,0.9,-0.05915,-9.769887,31.9360319999985,0.804199913209638
0.09009,-0.0078148,0.0139193999999999,2.86093620000003,0.9,-0.088489,-9.673983,41.1398190000029,0.892635784217833
0.12012,-0.007773,0.0225108,2.883114,0.9,-0.11754,-9.55043999999999,52.1178299999967,0.9
0.15015,-0.0077054,0.0311688,2.87202509999997,0.9,-0.14622,-9.39393,62.0978400000004,0.9
0.18018,-0.0076118,0.0397934999999999,2.86093620000003,0.9,-0.17443,-9.20745,70.9689600000035,0.9
0.21021,-0.0074923,0.0483849,2.8498473,0.9,-0.20208,-8.99432999999999,82.057859999999,0.9
0.24024,-0.007347,0.056943,2.82766950000004,0.9,-0.22909,-8.74791,90.9289799999956,0.9
0.27027,-0.007176,0.0654345000000002,2.79440279999995,0.9,-0.25536,-8.47485000000001,99.8001000000011,0.9
0.3003,-0.0069795,0.0738261,2.72786939999996,0.9,-0.28081,-8.17515000000001,107.562330000003,0.9
0.33033,-0.0067578,0.0820178999999999,2.68351380000003,0.9,-0.30536,-7.85214,117.542340000001,0.9
0.36036,-0.0065115,0.0900765,2.61698040000004,0.9,-0.32894,-7.49915999999999,125,0.9
0.39039,-0.006241,0.0979353000000001,2.55044699999995,0.9,-0.35146,-7.12287000000001,125,0.9
0.42042,-0.0059469,0.1055943,2.45064689999997,0.9,-0.37285,-6.7266,125,0.9
0.45045,-0.0056298,0.1129536,2.37302460000005,0.9,-0.39305,-6.30702,125,0.9
0.48048,-0.0052906,0.1200798,2.26213560000003,0.9,-0.41199,-5.86745999999999,125,0.9
0.51051,-0.00493,0.126873,2.15124660000001,0.9,-0.42961,-5.41125,125,0.9
0.54054,-0.004549,0.1333332,2.04035759999991,0.9,-0.44586,-4.93506,125,0.9
0.57057,-0.0041486,0.1394604,1.90729080000007,0.9,-0.46068,-4.44222000000001,125,0.9
